seq,time,pos_press,neg_press,act_pos_ref,act_neg_ref,pos_ctrl,neg_ctrl,act_pos_press,act_neg_press,act_pos_ctrl1,act_pos_ctrl2,act_neg_ctrl1,act_neg_ctrl2,angle,angle_reference,angular_vel,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6
50,0.9803409576416016,138.11441040039062,41.98365783691406,101.325,0.0,1.0,1.0,101.2750473022461,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13949966430664,17.048131942749023,0.002682209014892578,0.0,-0.0491023063659668,-0.07661581039428711
51,1.0003011226654053,138.01844787597656,42.018070220947266,101.325,0.0,1.0,1.0,101.31986999511719,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.140810012817383,17.05317497253418,0.002682209014892578,0.0,-0.04945993423461914,-0.07686018943786621
52,1.0202972888946533,137.9904327392578,41.99541091918945,101.325,0.0,1.0,1.0,101.94405364990234,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.143051147460938,17.059480667114258,0.002682209014892578,0.0,-0.049561262130737305,-0.07647871971130371
53,1.0403590202331543,138.19381713867188,41.99412155151367,101.325,0.0,1.0,1.0,101.9128189086914,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.145256996154785,17.063247680664062,0.002682209014892578,0.0,-0.04940629005432129,-0.07637143135070801
54,1.0603015422821045,138.1277618408203,42.01998519897461,101.325,0.0,1.0,1.0,101.70909118652344,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.149154663085938,17.068279266357422,0.002682209014892578,0.0,-0.04947185516357422,-0.07648468017578125
55,1.0803453922271729,137.97183227539062,42.05416488647461,101.325,0.0,1.0,1.0,101.42405700683594,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.153947830200195,17.073524475097656,0.002682209014892578,0.0,-0.049626827239990234,-0.07657408714294434
56,1.1003563404083252,138.05325317382812,42.07571792602539,101.325,0.0,1.0,1.0,101.25645446777344,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.159622192382812,17.079662322998047,0.002682209014892578,0.0,-0.049680471420288086,-0.07699728012084961
57,1.120356798171997,138.27188110351562,42.045894622802734,101.325,0.0,1.0,1.0,101.66283416748047,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.166154861450195,17.087400436401367,0.002682209014892578,0.0,-0.04976391792297363,-0.07741451263427734
58,1.1403272151947021,138.25543212890625,42.04391860961914,101.325,0.0,1.0,1.0,101.85476684570312,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.172996520996094,17.09613800048828,0.002682209014892578,0.0,-0.049877166748046875,-0.07790923118591309
59,1.160362958908081,137.99330139160156,42.06992721557617,101.325,0.0,1.0,1.0,101.6972885131836,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.180113792419434,17.10546112060547,0.002682209014892578,0.0,-0.04992485046386719,-0.07789731025695801
60,1.180337905883789,137.784912109375,42.12079620361328,101.325,0.0,1.0,1.0,101.38841247558594,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.187397003173828,17.11505699157715,0.002682209014892578,0.0,-0.0498652458190918,-0.07751584053039551
61,1.200343370437622,137.99853515625,42.095428466796875,101.325,0.0,1.0,1.0,101.44670867919922,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.194787979125977,17.124509811401367,0.002682209014892578,0.0,-0.04988908767700195,-0.07712244987487793
62,1.2203519344329834,138.4056396484375,42.07262420654297,101.325,0.0,1.0,1.0,101.59762573242188,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.202394485473633,17.134105682373047,0.002682209014892578,0.0,-0.04988908767700195,-0.07672905921936035
63,1.2403569221496582,138.4820556640625,42.06194305419922,101.325,0.0,1.0,1.0,101.97683715820312,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.210023880004883,17.14364242553711,0.002682209014892578,0.0,-0.050073862075805664,-0.07682442665100098
64,1.2603435516357422,138.21908569335938,42.099796295166016,101.325,0.0,1.0,1.0,101.64781188964844,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.217700958251953,17.153167724609375,0.002682209014892578,0.0,-0.05054473876953125,-0.07695555686950684
65,1.2803459167480469,138.02084350585938,42.15107727050781,101.325,0.0,1.0,1.0,101.2293930053711,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22536563873291,17.16269302368164,0.002682209014892578,0.0,-0.051087141036987305,-0.07665753364562988
66,1.3003573417663574,138.2447052001953,42.117061614990234,101.325,0.0,1.0,1.0,101.38424682617188,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.233030319213867,17.172218322753906,0.002682209014892578,0.0,-0.05117058753967285,-0.07621049880981445
67,1.3203449249267578,138.51341247558594,42.089263916015625,101.325,0.0,1.0,1.0,101.65389251708984,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24069595336914,17.18175506591797,0.002682209014892578,0.0,-0.05069375038146973,-0.07632970809936523
68,1.3403539657592773,138.4393768310547,42.082725524902344,101.325,0.0,1.0,1.0,101.80934143066406,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.248361587524414,17.1912784576416,0.002682209014892578,0.0,-0.05029439926147461,-0.07677674293518066
69,1.3603405952453613,138.1258544921875,42.131874084472656,101.325,0.0,1.0,1.0,101.50714874267578,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.256026268005371,17.200803756713867,0.002682209014892578,0.0,-0.05046725273132324,-0.07712244987487793
70,1.380345344543457,138.24517822265625,42.16212844848633,101.325,0.0,1.0,1.0,101.26432037353516,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.263690948486328,17.21034049987793,0.002682209014892578,0.0,-0.05030035972595215,-0.07697939872741699
71,1.4003410339355469,138.06863403320312,42.149776458740234,101.325,0.0,1.0,1.0,101.43252563476562,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.271356582641602,17.219865798950195,0.002682209014892578,0.0,-0.05011558532714844,-0.07656216621398926
72,1.4203176498413086,138.30050659179688,42.12417984008789,101.325,0.0,1.0,1.0,101.82758331298828,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.279033660888672,17.229389190673828,0.002682209014892578,0.0,-0.04960894584655762,-0.07607340812683105
